trip_id,date_time,pickup_location,dropoff_location,trip_duration,trip_distance,fare_amount,payment_method,driver_id,customer_id
trip_1,2023-07-18 14:34:00,Downtown,Suburbs,51,33.99,88.49,card,driver_34,customer_78
trip_2,2023-07-08 09:57:00,Downtown,Airport,100,42.66,19.53,card,driver_17,customer_228
trip_3,2023-04-04 21:17:00,Mall,Mall,38,40.39,61.84,card,driver_79,customer_480
trip_4,2023-01-29 22:11:00,Mall,Downtown,102,18.95,87.53,cash,driver_6,customer_398
trip_5,2023-01-05 09:51:00,Suburbs,Airport,31,20.26,57.14,cash,driver_72,customer_413
trip_6,2023-04-02 02:42:00,Downtown,University,45,18.65,85.3,cash,driver_24,customer_111
trip_7,2023-02-11 04:06:00,Downtown,Airport,32,27.48,18.47,cash,driver_58,customer_446
trip_8,2023-05-01 14:15:00,Train Station,Downtown,62,1.25,37.35,cash,driver_54,customer_174
trip_9,2023-08-19 10:30:00,Suburbs,Airport,64,12.47,87.46,cash,driver_48,customer_425
trip_10,2023-08-03 05:48:00,Airport,Train Station,59,13.84,28.57,cash,driver_92,customer_409
trip_11,2023-01-07 14:19:00,Airport,Airport,77,30.18,34.56,cash,driver_24,customer_175
trip_12,2023-02-20 09:17:00,University,Airport,12,38.8,37.93,cash,driver_90,customer_237
trip_13,2023-06-20 02:06:00,Suburbs,Train Station,119,17.97,97.35,card,driver_59,customer_493
trip_14,2023-05-17 01:57:00,Mall,Mall,15,22.07,97.66,card,driver_61,customer_66
trip_15,2023-08-11 00:34:00,Suburbs,Downtown,40,16.38,31.94,cash,driver_63,customer_427
trip_16,2023-01-18 01:59:00,Downtown,University,8,22.07,41.7,cash,driver_4,customer_163
trip_17,2023-05-25 00:49:00,Downtown,Airport,12,38.93,58.78,card,driver_40,customer_329
trip_18,2023-04-09 10:25:00,University,Airport,73,10.53,11.6,cash,driver_36,customer_20
trip_19,2023-03-21 02:37:00,Mall,Airport,10,18.2,35.48,card,driver_63,customer_484
trip_20,2023-06-25 09:40:00,Mall,University,45,32.86,85.97,cash,driver_6,customer_260
trip_21,2023-11-21 06:55:00,Airport,University,99,43.99,86.46,card,driver_78,customer_155
trip_22,2023-10-24 02:58:00,Train Station,Downtown,10,39.57,39.83,card,driver_64,customer_54
trip_23,2023-01-19 08:34:00,Train Station,Mall,67,44.47,54.26,cash,driver_19,customer_65
trip_24,2023-12-27 17:42:00,Downtown,Suburbs,111,18.03,51.95,cash,driver_56,customer_290
trip_25,2023-01-24 05:05:00,Airport,Mall,99,37.22,88.13,cash,driver_98,customer_262
trip_26,2023-05-24 16:18:00,Airport,Downtown,64,27.85,57.44,card,driver_39,customer_307
trip_27,2023-03-20 00:22:00,Airport,Mall,63,29.16,82.05,card,driver_25,customer_115
trip_28,2023-01-12 07:39:00,Airport,Mall,26,36.28,17.41,card,driver_1,customer_311
trip_29,2023-01-11 05:49:00,Airport,University,19,11.48,61.39,cash,driver_4,customer_259
trip_30,2023-11-13 20:02:00,Suburbs,Downtown,20,17.68,63.47,card,driver_85,customer_30
trip_31,2023-05-02 20:19:00,Train Station,Airport,43,43.9,52.87,card,driver_69,customer_499
trip_32,2023-06-23 12:47:00,Airport,Suburbs,51,25.37,41.13,card,driver_81,customer_190
trip_33,2023-11-11 13:36:00,Airport,Train Station,54,42.73,59.85,card,driver_70,customer_408
trip_34,2023-08-09 06:09:00,Mall,University,80,45.61,76.74,cash,driver_11,customer_391
trip_35,2023-06-05 02:58:00,Airport,Downtown,72,48.32,95.32,cash,driver_11,customer_21
trip_36,2023-06-29 22:52:00,Downtown,Airport,67,28.44,45.41,card,driver_2,customer_111
trip_37,2023-06-20 07:03:00,Suburbs,University,71,24.45,17.87,card,driver_95,customer_155
trip_38,2023-10-24 03:13:00,Downtown,Suburbs,19,27.65,29.11,cash,driver_7,customer_439
trip_39,2023-08-04 06:37:00,Downtown,Downtown,10,29.98,49.67,cash,driver_5,customer_174
trip_40,2023-11-18 22:00:00,Suburbs,University,50,13.86,21.61,card,driver_27,customer_270
trip_41,2023-08-22 05:11:00,Airport,Downtown,21,43.65,57.83,cash,driver_30,customer_238
trip_42,2023-09-15 21:30:00,Mall,Suburbs,19,44.78,13.53,cash,driver_31,customer_244
trip_43,2023-11-14 20:40:00,University,Downtown,20,2.73,55.13,card,driver_51,customer_430
trip_44,2023-02-15 17:12:00,Train Station,Downtown,68,23.08,74.72,cash,driver_45,customer_28
trip_45,2023-04-21 00:41:00,Mall,Downtown,99,15.37,24.48,card,driver_50,customer_165
trip_46,2023-04-11 10:58:00,Train Station,Downtown,18,35.94,93.39,card,driver_89,customer_437
trip_47,2023-09-05 14:35:00,Suburbs,Downtown,51,46.39,41.65,cash,driver_26,customer_219
trip_48,2023-05-07 23:21:00,Mall,Train Station,18,27.24,95.3,cash,driver_18,customer_284
trip_49,2023-01-05 04:43:00,Suburbs,Suburbs,58,35.34,49.16,cash,driver_8,customer_194
trip_50,2023-07-23 09:24:00,Airport,University,6,19.07,62.31,cash,driver_20,customer_321
trip_51,2023-05-02 16:21:00,Downtown,Airport,72,23.61,19.61,card,driver_82,customer_255
trip_52,2023-10-31 16:34:00,Mall,Mall,114,40.54,18.03,cash,driver_80,customer_460
trip_53,2023-11-03 05:56:00,Train Station,Mall,6,9.24,58.15,cash,driver_59,customer_86
trip_54,2023-10-17 21:11:00,Downtown,Mall,117,21.0,20.19,card,driver_56,customer_26
trip_55,2023-05-10 04:26:00,Suburbs,Airport,45,8.85,68.76,cash,driver_49,customer_97
trip_56,2023-05-24 22:30:00,Airport,Train Station,54,28.07,40.29,cash,driver_28,customer_474
trip_57,2023-11-20 04:23:00,Train Station,Train Station,92,3.78,93.54,cash,driver_7,customer_227
trip_58,2023-03-22 07:33:00,Mall,Mall,108,47.12,31.9,cash,driver_42,customer_267
trip_59,2023-12-13 16:46:00,Downtown,Suburbs,44,29.84,83.01,cash,driver_74,customer_107
trip_60,2023-04-20 10:41:00,University,University,107,7.07,38.35,cash,driver_55,customer_357
trip_61,2023-07-24 17:07:00,Mall,Suburbs,22,34.04,96.5,card,driver_80,customer_407
trip_62,2023-09-28 02:20:00,Suburbs,Mall,10,5.24,82.35,card,driver_38,customer_258
trip_63,2023-05-01 00:11:00,Airport,Suburbs,42,20.9,42.91,cash,driver_17,customer_347
trip_64,2023-08-10 12:13:00,Suburbs,Downtown,24,19.91,83.53,card,driver_94,customer_398
trip_65,2023-03-07 18:30:00,Airport,Downtown,93,10.29,90.08,card,driver_22,customer_484
trip_66,2023-11-10 14:31:00,Suburbs,Suburbs,94,25.67,56.11,cash,driver_100,customer_419
trip_67,2023-10-26 20:14:00,Airport,Downtown,18,1.3,85.59,cash,driver_54,customer_357
trip_68,2023-04-07 18:17:00,Airport,Train Station,52,11.94,52.43,cash,driver_50,customer_145
trip_69,2023-09-27 00:00:00,Suburbs,Airport,42,14.43,36.24,cash,driver_29,customer_236
trip_70,2023-10-30 16:09:00,Mall,Suburbs,96,32.13,73.82,card,driver_87,customer_54
trip_71,2023-02-21 02:28:00,Suburbs,Suburbs,74,37.52,27.17,cash,driver_15,customer_140
trip_72,2023-05-04 09:08:00,Train Station,Suburbs,52,41.86,54.9,cash,driver_38,customer_68
trip_73,2023-08-04 07:34:00,Train Station,University,85,43.59,16.38,cash,driver_89,customer_79
trip_74,2023-08-08 04:37:00,Suburbs,Airport,116,6.11,50.55,card,driver_6,customer_144
trip_75,2023-03-26 19:38:00,University,Suburbs,71,35.66,91.46,card,driver_72,customer_263
trip_76,2023-07-07 07:23:00,Airport,University,42,38.4,21.09,card,driver_62,customer_174
trip_77,2023-02-01 23:12:00,Downtown,Downtown,87,1.95,65.81,cash,driver_42,customer_104
trip_78,2023-09-08 01:37:00,Airport,Mall,112,44.79,51.04,cash,driver_31,customer_158
trip_79,2023-02-16 02:16:00,University,Suburbs,27,49.12,57.68,card,driver_45,customer_428
trip_80,2023-11-16 21:18:00,Suburbs,Mall,10,27.41,91.9,cash,driver_72,customer_72
trip_81,2023-08-12 12:45:00,Mall,Downtown,111,3.05,89.69,cash,driver_15,customer_213
trip_82,2023-10-10 05:22:00,Suburbs,Train Station,20,6.02,35.48,cash,driver_95,customer_473
trip_83,2023-07-04 02:17:00,Airport,University,40,30.89,79.18,card,driver_67,customer_373
trip_84,2023-06-24 12:31:00,Suburbs,University,60,41.29,78.72,card,driver_64,customer_394
trip_85,2023-08-30 00:02:00,Mall,Train Station,66,45.82,27.55,cash,driver_30,customer_60
trip_86,2023-08-22 16:23:00,Train Station,Suburbs,48,45.74,12.64,card,driver_92,customer_409
trip_87,2023-11-06 15:19:00,University,Train Station,14,10.98,80.18,cash,driver_89,customer_416
trip_88,2023-10-23 21:51:00,Mall,Train Station,82,40.24,95.61,cash,driver_36,customer_10
trip_89,2023-05-04 13:58:00,Train Station,Airport,61,31.52,27.49,cash,driver_93,customer_163
trip_90,2023-11-13 16:19:00,Mall,Airport,118,27.03,70.26,cash,driver_63,customer_465
trip_91,2023-03-17 21:31:00,Airport,Train Station,108,21.64,74.38,card,driver_40,customer_72
trip_92,2023-10-14 17:41:00,Train Station,Downtown,50,36.89,29.0,cash,driver_40,customer_145
trip_93,2023-04-21 05:34:00,Airport,Suburbs,115,20.08,5.92,cash,driver_69,customer_358
trip_94,2023-08-17 23:45:00,University,University,5,11.19,82.71,cash,driver_68,customer_214
trip_95,2023-05-19 03:56:00,Airport,Suburbs,77,46.77,77.73,cash,driver_77,customer_333
trip_96,2023-02-02 09:50:00,Airport,Airport,14,29.05,37.11,cash,driver_41,customer_304
trip_97,2023-12-23 00:25:00,Suburbs,Downtown,118,43.74,11.11,card,driver_14,customer_103
trip_98,2023-06-10 04:59:00,Suburbs,University,37,36.37,60.87,cash,driver_47,customer_459
trip_99,2023-04-30 20:22:00,Train Station,Suburbs,5,42.57,54.65,card,driver_45,customer_91
trip_100,2023-10-28 23:08:00,Mall,Airport,48,22.37,21.18,card,driver_47,customer_379
trip_101,2023-07-23 12:56:00,Suburbs,Downtown,85,34.67,82.86,cash,driver_95,customer_286
trip_102,2023-11-21 10:28:00,Downtown,Suburbs,95,29.46,16.12,cash,driver_18,customer_194
trip_103,2023-07-15 15:39:00,Mall,Suburbs,40,15.81,52.35,card,driver_82,customer_179
trip_104,2023-05-27 20:06:00,Mall,Downtown,90,19.73,71.28,cash,driver_89,customer_171
trip_105,2023-02-21 04:08:00,Train Station,University,118,1.13,14.14,cash,driver_9,customer_75
trip_106,2023-01-20 15:57:00,Suburbs,Downtown,75,24.19,97.33,cash,driver_14,customer_392
trip_107,2023-11-21 13:39:00,University,Suburbs,67,36.77,81.0,cash,driver_58,customer_91
trip_108,2023-03-08 02:33:00,Downtown,Airport,74,32.21,99.45,cash,driver_25,customer_266
trip_109,2023-03-07 07:23:00,Airport,Mall,116,38.21,10.96,card,driver_8,customer_287
trip_110,2023-03-05 00:26:00,Suburbs,Mall,117,43.11,32.79,cash,driver_5,customer_427
trip_111,2023-03-25 03:40:00,Suburbs,Mall,52,23.5,76.96,cash,driver_53,customer_314
trip_112,2023-05-31 09:10:00,Suburbs,Airport,53,5.04,26.74,card,driver_79,customer_40
trip_113,2023-01-23 22:54:00,Airport,Suburbs,119,21.94,92.85,cash,driver_1,customer_301
trip_114,2023-08-20 08:45:00,Train Station,Train Station,48,43.96,19.85,card,driver_57,customer_205
trip_115,2023-02-25 02:44:00,Mall,Train Station,43,45.49,34.66,card,driver_19,customer_134
trip_116,2023-08-08 04:01:00,Train Station,University,68,29.61,22.12,card,driver_42,customer_200
trip_117,2023-02-04 21:54:00,University,Suburbs,24,33.37,27.48,cash,driver_19,customer_415
trip_118,2023-02-27 17:24:00,Train Station,Train Station,5,9.44,42.05,card,driver_67,customer_77
trip_119,2023-12-11 19:30:00,Airport,Suburbs,38,39.11,55.75,card,driver_39,customer_301
trip_120,2023-08-31 20:30:00,University,Downtown,91,24.02,74.04,cash,driver_23,customer_277
trip_121,2023-07-29 08:31:00,Mall,Mall,29,33.25,7.02,card,driver_31,customer_287
trip_122,2023-09-24 10:22:00,University,Mall,96,1.44,53.52,card,driver_30,customer_375
trip_123,2023-10-17 02:07:00,Train Station,University,77,10.88,16.63,cash,driver_95,customer_116
trip_124,2023-08-30 02:10:00,Suburbs,Train Station,33,11.82,96.49,card,driver_21,customer_233
trip_125,2023-10-02 13:44:00,Train Station,Mall,119,22.49,11.11,cash,driver_3,customer_207
